Sanger_ID	Name	Tissue
SIDM00782	T84	Large Intestine
SIDM01171	T98G	Central Nervous System
SIDM01189	U-87-MG	Central Nervous System
SIDM00316	YH-13	Central Nervous System
SIDM00982	42-MG-BA	Central Nervous System
SIDM00209	D-423MG	Central Nervous System
SIDM00602	IM-95	Stomach
SIDM00628	MDA-MB-468	Breast
SIDM00527	MDST8	Large Intestine
SIDM00645	NCI-H1355	Lung
SIDM00622	D-247MG	Central Nervous System
SIDM00274	GCIY	Stomach
SIDM00271	MKN1	Stomach
SIDM00249	TE-15	Esophagus
SIDM00227	GI-ME-N	Peripheral Nervous System
SIDM00665	Hs-746T	Stomach
SIDM00555	KS-1	Central Nervous System
SIDM00659	M059J	Central Nervous System
SIDM00003	M14	Skin
SIDM01265	MM1S	Haematopoietic and Lymphoid
SIDM00724	NCI-H2405	Lung
SIDM00475	OV-56	Ovary
SIDM00092	OVCAR-4	Ovary
SIDM00085	SF268	Central Nervous System
SIDM00251	TGBC11TKB	Stomach
